,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR_netgen
686,58238,76,25395,32511,33148,30937,30490,26455,28898,28952,21096,10,-2.039676406
351,56946,65664,63982,63311,57205,60798,61223,57582,65489,46400,22035,10,-11.16958446
362,56970,25964,26947,26215,23104,25264,21717,27321,21832,23054,22096,10,-2.181143393
217,56560,246494,237604,252875,227541,249811,246548,195672,141892,71498,22229,10,-23.14466502
345,56933,22739,22623,23075,19137,20559,18807,22544,19143,25198,22869,10,0.120241051
27,50532,,25055,25410,20576,20410,22929,22219,20612,21799,23445,9,-1.001025362
624,57963,119,24170,26447,24054,24727,25300,18209,13192,26055,23956,10,-0.098766531
449,57240,23296,27728,27942,25428,24765,27099,27212,25119,25970,23991,10,-1.595621492
40,54453,44345,33518,31274,30211,26039,23308,3484,12660,20921,24288,10,-3.51560609
703,58444,,30506,30648,27829,28226,26760,22028,20974,23994,24328,9,-2.845474838
672,58114,410,14574,14033,12734,13774,12895,12046,18387,19569,24334,10,5.861292748
826,59417,,,,48683,77414,57557,54664,52353,39832,24434,7,-17.48570814
513,57434,33728,31131,32893,32572,29917,31690,27443,26850,26004,24604,10,-2.580510452
789,59070,,,,,26485,26511,25547,20092,25284,24736,6,-1.376440599
365,56973,24316,24926,24934,21315,21179,20004,25553,20643,23087,24845,10,-0.036159132
435,57187,16313,26699,23323,29107,29309,24155,26170,25015,24682,25238,10,-0.623330477
32,50553,44665,46688,46637,43200,44987,43827,37618,28500,29640,25666,10,-6.43183721
363,56971,26111,26822,25945,22916,21616,20878,26503,21184,24782,26209,10,-0.256554591
142,56308,23644,22310,24775,21789,25760,25765,26234,24534,27462,26569,10,1.960187748
932,60932,,,,,33424,30254,29140,27593,28854,26687,6,-2.477822308
227,56591,22847,24620,22928,20016,22270,11478,22191,23150,23877,26730,10,0.917824293
976,61668,,,,,,14280,30553,28829,31763,26735,5,-3.282161507
177,56424,312189,308821,320129,314983,301552,284258,262109,259080,202560,27072,10,-23.69819089
772,58966,,,19965,31605,33312,31550,27581,28490,33882,27531,8,-1.952160718
265,56670,30577,28887,33694,28550,28601,31851,25978,27448,30101,27852,10,-0.404589211
42,54686,43359,38733,36690,34060,37610,,34847,23451,24544,27921,9,-3.356442738
