,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR
940,60931,,,,,9.23076923076923,9.213266397824592,9.104177126929338,8.904886781508027,8.7669467437141,8.84405690154872,6,-0.7107403494009401
941,60932,,,,,9.23199384482203,9.21296484420139,9.104025859679739,8.904939590451901,8.766998737832385,8.844028660592542,6,-0.7129884138417419
942,60983,,,,,,9.21300995699508,9.103999782843937,8.905001976805373,8.767001087637885,8.844001488216284,5,-0.8142107931566334
943,60987,,,,,,9.211864406779661,9.104018123674338,8.904999352742312,8.767001549927015,8.84399799033991,5,-0.811751893062751
944,60991,,,,,,9.212999059562902,9.104008106855,8.9050012568482,8.767013784365059,8.844011660598577,5,-0.8141645124179142
945,60999,,,,,,,,,8.767004038462165,8.84399906478575,2,0.4381583187661686
946,61001,,,,,,,9.1040036222013,8.90500042899992,8.767000237708624,8.843999501598782,4,-0.7217594306673347
947,61002,,,,,9.232514830961659,9.212874126057248,9.104293352089137,8.904812751752766,8.766983895264639,8.84380376623484,6,-0.7143430163348174
948,61004,,,,,,,9.10419108590502,8.905075285589808,8.76672963497851,8.843564943847978,4,-0.7234900395519994
949,61005,,,,,,9.21307296592749,9.104034843117622,8.90489982668906,8.767065786059726,8.844027564729428,5,-0.8142879717600082
950,61032,,,,,,,,,8.766999866319178,8.843999478159867,2,0.4381845648813387
951,61039,,,,,,9.21301775147929,9.103995366089901,8.904993398984951,8.767006849155239,8.843977899845227,5,-0.8142804849122554
952,61040,,,,,,9.21296972648324,9.103997184315965,8.904999281992815,8.76699996021897,8.843997287848739,5,-0.8141335913447456
953,61044,,,,,,,,,,8.84400112727055,1,
954,61046,,,,,,,,,,8.843997272926568,1,
955,61047,,,,,,,,8.905040733197556,8.766995848964626,8.84400122569844,3,-0.229007022526595
956,61056,,,,,,9.25,9.104410969126114,8.904712994615764,8.767215419939683,8.843925724283757,5,-0.8938350694543074
957,61066,,,,,,,9.104714109251638,8.905261255397342,8.767203054380817,8.843953815078814,4,-0.7238244947457728
958,61067,,,,,,9.213348455632275,9.103889612239003,8.90500897587509,8.766561255177042,8.843679850321832,5,-0.8156610627736316
959,61070,,,,,,,,8.904995841071091,8.767000730588963,8.843997063549576,3,-0.2288550180360005
960,61077,,,,,,,,8.904997057589664,8.76700041630171,8.844000320779328,3,-0.22884731279262382
961,61079,,,,,,9.213001884331062,9.104000306709933,8.905000075478485,8.766999887169948,8.843999412870422,5,-0.8141980663626813
962,61100,,,,,,,,,8.767002066301322,8.843999891252965,2,0.43817430863113405
963,61106,,,,,,,,8.904992939990937,8.766997290907574,8.843995605649608,3,-0.22884966581423472
964,61155,,,,,,,9.104009740610394,8.90501790827861,8.767006732103019,8.844007754682062,4,-0.7217529496018282
965,61161,,,,,,,,,8.766998429811716,8.8439981622745,2,0.4381853214544096
966,61212,,,,,,,9.103977420162424,8.90500152053691,8.766998812389613,8.84400044859561,4,-0.7216853402635559
