,plant_id,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR_uptime
88,56011,2712.682927,2674.682927,2546.560976,2850.121951,2843.292683,2764.97561,2723.853659,2517.926829,2767.121951,9,0.425614826
89,56012,3169.300813,2618.520325,2342.422764,2248.699187,2674,2592.894309,2316.195122,2152.439024,2059.98374,9,-2.954370745
90,56052,2675.966667,2893.666667,2469.633333,2727.466667,2735.166667,2601.5,2368.233333,2362.166667,1614.666667,9,-7.032897126
91,56054,2348.418605,2514.046512,2305.418605,2263.023256,1920.744186,1988.976744,1915.767442,2172.860465,2049.139535,9,-2.523533432
92,56075,2366.444444,2045.753086,2140.58642,1939.975309,1904.067901,2131.518519,1830.753086,1932.049383,2198.388889,9,0.903542396
93,56081,3526.218035,3665.437416,2780.835294,2990.729412,2912.788235,3114.024226,3110.363392,2886.985195,1455.450875,9,-10.90384384
94,56092,3195.950617,3506.765432,3159.185185,3399.506173,3033.45679,2775.358025,2383.037037,2085.135802,2105.876543,9,-6.17560476
95,56093,2416.930556,2797.75,2131.708333,2514.854167,2528.645833,2431.652778,2385.125,2619.027778,2472.020833,9,-1.535336114
96,56094,2571.382353,2765.519608,2627.343137,2737.009804,2151.127451,1841.794118,1792.245098,2747.95098,1327.22549,9,-8.768251903
97,56097,2404.602941,2399.220588,1942.852941,2434.053922,2435.186275,2378.112745,2990.490196,2810.730392,2996.833333,9,2.819159974
98,56099,2207.593496,2920.585366,2851.934959,2727.138211,2639.95122,2350.943089,2203.414634,1600.097561,1700.97561,9,-6.534028879
99,56106,2914.190476,2742.857143,2160.285714,1273.142857,138.5714286,1968.566667,3871.866667,4239.233333,3962.133333,9,4.704594016
100,56111,3132.31875,3116.53125,2555.85,2887.2625,2286.3375,2242.33125,2437.7625,2065.14375,1500.90625,9,-8.728484865
101,56112,3258.526786,3138.973214,3175.178571,3283.616071,2829.776786,3078.348214,3029.910714,2603.080357,2682.142857,9,-1.946796522
102,56142,2596.830409,2575.602339,2605.847953,2716.830409,2675.005848,2475.122807,2356.818713,2656.77193,2597.02924,9,0.103613228
103,56153,3020,3144.583333,3160.666667,3035.333333,2817.083333,2752,2691.75,2962.5,2503,9,-2.812095632
104,56160,1567.321429,1523.373016,1596.289683,1634.06746,1957.162698,398.4927916,2330.564304,3179.251969,3529.750656,9,11.07522999
105,56162,3116.414141,3279.612795,3242.727273,2968.249158,2730.10101,2803.181818,2142.441077,2055.20202,1480.892256,9,-9.460600182
106,56172,3291.287356,3557.287356,3311.356322,3016.022989,2982.068966,2782.781609,2680.551724,3059.885057,1597.977011,9,-9.519196774
107,56173,2719.438272,2474.067901,2331.061728,3123.777778,1356.351852,1886.901235,2568.814815,1527.240741,3301.283951,9,3.671386837
108,56174,2851.215686,3068.941176,2794.941176,3010.803922,3004.686275,2792.254902,2573.627451,2154.980392,1398.901961,9,-9.353750597
109,56195,2502.487805,2623.560976,2220.365854,2847.902439,2280.658537,2772.707317,2037.232558,2817.44186,2409.744186,9,-1.057023217
110,56203,2877.5,3084.5,2235.5,48,807.5,1223.5,882,844.5,829,9,-15.14621496
111,56210,3098.5,3503,3241.5,3127,2996.5,2548,446,1217,540.5,9,-20.8329531
112,56211,3066.4,3352.586667,2918.56,3048.8,2594.773333,3779.546667,4008.586667,3878,3708.666667,9,1.269746635
113,56212,3364.874317,3536.688525,3093.377049,3246.907104,2596.923077,3706.194332,3690.62753,3480.82996,3739.979757,9,0.701062951
114,56215,1482.5,1593.333333,1706.666667,3353.333333,1335,914.4736842,387.3684211,311.3793103,165.5172414,9,-24.65280751
115,56226,2004.583333,1980.833333,1817.5,1512.777778,1677.083333,1557.5,1559.861111,1285.972222,938.4722222,9,-8.915037081
116,56240,3102.728027,3193.059701,2693.565506,2897.794362,3001.641791,2927.305141,2971.451078,2739.46932,2408.781095,9,-3.461891141
117,56251,3116.803419,3061.549858,2205.568306,2389.680912,2017.088319,2781.988604,2781.538462,2960.643875,3003.868946,9,-0.237469729
118,56252,2827.795,2945.42,2171.208511,1858.32766,2041.39,2648.78,2665.452286,2833.106362,2834.890656,9,-0.476959598
119,56255,2580.715198,2894.118774,2313.237548,2650.510856,2189.08046,2609.565773,2158.320562,2647.975734,2657.330779,9,-1.061309399
120,56270,3305.710526,3548.938596,2938.219298,3174.578947,3233.394737,3707.315789,3742.307018,3784.780702,3569.035088,9,0.070608717
121,56271,3629.666667,3237,3376,3519.5,3239.222222,3516.722222,3000.166667,3113.666667,2755.944444,9,-1.990997327
122,56273,3852.14966,2773.680272,3577.639456,3877.605442,3864.197279,3784.088435,3484.55102,2823.530612,4235.292517,9,5.433440024
123,56275,1320,1334.583333,110.8333333,1038.333333,965,1582.916667,848.75,1175.833333,1641.666667,9,2.622457482
124,56290,2333.518634,2525.263975,2432.357143,2373.670807,2443.267081,2296.990683,2288.680124,2307.66812,1924.86924,9,-3.336658008
125,56291,1989.672332,3139.496941,2672.868797,2936.210741,2682.479946,3317.704963,3390.160435,3417.344663,3146.122366,9,0.026355002
126,56293,4010.3625,3958.5,3707.8,4061.475,3971.6875,4129.075,4009.975,3456.4875,3513.375,9,-1.48003879
127,56295,2965.54,2798.72,2533.82,2856.32,2369.56,3113.1,3137.68,2870.5,3019.88,9,0.955219951
128,56296,3295.870647,3658.0199,3583.243781,3229.920398,2987.681592,2851.960199,2794.776119,2957.950249,3506.80597,9,-0.526314423
129,56297,2658.358491,2789.886792,2942.358491,2769.339623,3005.358491,2692.433962,2871.830189,2491.90566,1639.603774,9,-6.42840314
130,56299,2301.916667,2788.708333,2643.666667,2469.833333,2641.916667,2863.625,1922.791667,2383.708333,2583.583333,9,-0.950469232
131,56300,1450.266667,2777.866667,2710.4,2684.133333,2871.2,2861.466667,2791.466667,2666.533333,2630.533333,9,-0.678892955
132,56301,2387.767442,2849.503876,2215.472868,2710.248062,2668.48062,2656.713178,2541.023256,2874.682171,2617.054264,9,-1.058057053
133,56302,2322.816667,2642.3,2526.383333,2982.183333,2873.133333,2913.423729,2520.711864,1389.677966,664.9419569,9,-15.84107071
134,56303,3650.146667,3780.54,3395.68,3384.58,3111.206667,3000.786667,2558.693333,2320.993333,1992.28,9,-7.695140152
135,56304,3291.275,3355.383333,2546.583333,3313.166667,3351.875,3392.116667,3365.25,3378.666667,2146.35,9,-5.431870297
136,56307,2486.916667,2531.958333,2466.958333,2385.791667,2298.291667,1969.583333,1957.467811,2055.321888,1750.042918,9,-4.511951409
137,56308,2124.761905,2359.52381,2075.142857,2453.333333,2453.809524,2498.47619,2336.571429,2615.428571,2530.380952,9,0.877704965
138,56311,3422.925926,3321.066667,2764.377778,3116.762963,2978.288889,3196.118519,3233.4,3126.740741,3630.637037,9,1.120254738
139,56320,3651.6,3278.416667,3007.483333,3375.933333,2957.633333,2956.45,2852.616667,3034.2,2108.816667,9,-5.36607904
140,56322,2417.831988,2383.837124,2234.677183,2465.880411,2248.653705,2342.956713,2248.297872,2805.97212,2619.306676,9,1.18443742
141,56335,3525.788079,3611.218543,3295.980132,3503.880795,3513.013245,3281.569536,3074.953642,2936.373844,1842.430647,9,-8.067901827
