,plant_id,YEAR,Netgen
474,52143,2014,66759.66
475,52143,2015,53314.0
476,52143,2016,64184.0
477,52143,2017,56668.0
478,52143,2018,59211.0
479,52143,2019,48016.0
480,52144,2012,45909.0
481,52144,2013,62235.0
482,52144,2014,68967.0
483,52144,2015,55853.0
484,52144,2016,65104.0
485,52144,2017,56622.0
486,52144,2018,55605.0
487,52144,2019,42302.0
488,52160,2012,33618.0
489,52160,2013,43618.0
490,52160,2014,37462.0
491,52160,2015,31613.0
492,52160,2016,34213.0
493,52160,2017,31493.0
494,52160,2018,29020.0
495,52160,2019,24566.0
496,52160,2020,1846.0
497,52161,2012,21309.0
498,52161,2013,27785.0
499,52161,2014,26082.0
500,52161,2015,21592.0
501,52161,2016,22832.0
502,52161,2017,23268.0
503,52161,2018,20381.0
504,52161,2019,16304.0
505,52161,2020,0.0
506,52162,2012,14816.0
507,52162,2013,18640.0
508,52162,2014,16839.0
509,52162,2015,13347.0
510,52162,2016,16012.0
511,52162,2017,16521.0
512,52162,2018,15766.0
513,52162,2019,12194.0
514,52162,2020,0.0
515,52162,2021,53595.63
516,52163,2012,19584.0
517,52163,2013,25968.0
518,52163,2014,22336.0
519,52163,2015,17296.0
520,52163,2016,20601.0
521,52163,2017,16355.0
522,52163,2018,18824.0
523,52163,2019,16181.0
524,52163,2020,0.0
525,52163,2021,70905.78
526,52165,2012,2322.0
527,52165,2013,2818.0
528,52165,2014,2580.0
529,52165,2015,2124.0
530,52165,2016,1717.0
531,52165,2017,1870.0
532,52165,2018,1566.0
533,52165,2019,1312.0
534,52165,2020,0.0
535,54258,2012,17995.0
536,54258,2013,1644.0
537,54258,2014,0.0
538,54258,2015,9657.0
539,54298,2012,28740.0
540,54298,2013,26587.0
541,54298,2014,22464.0
542,54298,2015,20437.0
543,54298,2016,28310.0
544,54298,2017,25885.0
545,54298,2018,26476.0
546,54298,2019,25544.0
547,54298,2020,27712.0
548,54298,2021,19184.0
549,54299,2012,7380.0
550,54299,2013,9583.0
551,54299,2014,8317.0
552,54299,2015,8592.0
553,54299,2016,11855.0
554,54299,2017,10144.0
555,54299,2018,11560.0
556,54299,2019,9717.0
557,54299,2020,9725.0
558,54299,2021,6952.0
559,54300,2012,9251.0
560,54300,2013,10220.0
561,54300,2014,10849.0
562,54300,2015,10140.0
563,54300,2016,10620.0
564,54300,2017,9945.0
565,54300,2018,11812.0
566,54300,2019,11048.0
567,54300,2020,11999.0
568,54300,2021,6832.0
569,54453,2012,44345.0
570,54453,2013,33518.0
571,54453,2014,31274.0
572,54453,2015,30211.0
573,54453,2016,26039.0
574,54453,2017,23308.0
575,54453,2018,3484.0
576,54453,2019,12660.0
577,54453,2020,20921.0
578,54453,2021,24288.0
579,54454,2012,178487.0
580,54454,2013,182188.0
581,54454,2014,185544.0
582,54454,2015,180105.0
583,54454,2016,187884.0
584,54454,2017,163933.0
585,54454,2018,184919.0
586,54454,2019,182515.0
587,54454,2020,184353.0
588,54454,2021,183137.0
589,54647,2012,51864.0
590,54647,2013,55077.0
591,54647,2014,72897.0
592,54647,2015,74716.0
593,54647,2016,58940.0
594,54647,2017,55586.0
595,54647,2018,64439.0
596,54647,2019,52248.0
597,54647,2020,51903.0
598,54647,2021,55819.0
599,54650,2012,57436.0
600,54650,2013,22319.0
601,54650,2014,0.0
602,54650,2015,28874.0
603,54650,2017,4092.0
604,54650,2018,15365.0
605,54650,2019,0.0
606,54650,2020,0.0
607,54681,2012,14324.0
608,54681,2013,13985.0
609,54681,2014,7340.0
610,54681,2015,12461.0
611,54681,2016,11859.0
612,54681,2017,8308.0
613,54681,2018,6996.0
614,54681,2019,204.0
615,54681,2020,0.0
616,54682,2012,7127.0
617,54682,2013,6687.0
618,54682,2014,3706.0
619,54682,2015,4120.0
620,54682,2016,6475.0
621,54682,2017,4347.0
622,54682,2018,1398.0
623,54682,2019,33.0
624,54682,2020,0.0
625,54685,2012,8381.0
