,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR,operation_yrs_grp
135,56304,413343.0,394953.0,402646.0,305590.0,397580.0,402225.0,407054.0,403830.0,405440.0,257562.0,10,-4.620043471841829,3
136,56307,61706.0,59686.0,60767.0,59207.0,57259.0,55159.0,47270.0,45609.0,47889.0,40776.0,10,-4.058230837966059,3
137,56308,23644.0,22310.0,24775.0,21789.0,25760.0,25765.0,26234.0,24534.0,27462.0,26569.0,10,1.173185866875226,3
138,56311,437006.0,462095.0,448344.0,373191.0,420763.0,402069.0,431476.0,436509.0,422110.0,490136.0,10,1.1539672048689331,3
139,56320,214495.0,219096.0,196705.0,180449.0,202556.0,177458.0,177387.0,171157.0,182052.0,126529.0,10,-5.141273408983782,3
140,56322,677992.0,659101.0,649834.0,609173.0,672199.0,612983.0,638690.0,612886.0,764908.0,714023.0,10,0.519139747210029,3
141,56335,560207.0,532394.0,545294.0,497693.0,529086.0,530465.0,495517.0,464318.0,444567.0,278944.0,10,-6.735396268530458,3
142,56337,714711.0,706289.0,720417.0,609580.0,690042.0,685549.0,694820.0,705307.0,699524.0,632693.0,10,-1.2115306746542376,3
143,56338,589634.0,579021.0,582524.0,592258.0,541774.0,586815.0,527035.0,564176.0,525024.0,540612.0,10,-0.8642454835877,3
144,56347,188161.0,181366.0,176921.0,193496.0,177225.0,173780.0,163498.0,176428.0,184025.0,164637.0,10,-1.3266704015018504,3
145,56351,413996.0,490566.0,476587.0,461099.0,408557.0,310296.0,377126.0,373643.0,371227.0,208800.0,10,-6.615793056690855,3
146,56355,579025.0,639069.0,621597.0,653103.0,630455.0,626369.0,582943.0,566024.0,445474.0,393082.0,10,-3.7992220261593435,3
147,56357,165805.0,166693.0,171190.0,159780.0,167726.0,157768.0,137842.0,130402.0,177564.0,191167.0,10,1.4335277817247194,3
148,56359,211984.0,229791.0,222978.0,201425.0,209298.0,177186.0,191762.0,193625.0,202129.0,265766.0,10,2.286809803012768,3
149,56360,190905.0,206166.0,215245.0,188567.0,202614.0,155685.0,201665.0,98159.0,316368.0,293641.0,10,4.399865491656718,3
150,56361,519867.0,503416.0,517272.0,431826.0,502920.0,468061.0,510765.0,446663.0,600492.0,556990.0,10,0.6921269720493228,3
151,56362,430270.0,414255.0,397828.0,418611.0,387131.0,354488.0,387675.0,381728.0,394032.0,471202.0,10,0.9128811559801164,3
152,56369,87566.0,94308.0,97984.0,90934.0,90562.0,96763.0,97027.0,89458.0,94503.0,87926.0,10,0.04103598623370619,3
153,56371,837374.0,879922.0,842744.0,744451.0,852867.0,794301.0,813126.0,707748.0,787016.0,516379.0,10,-4.719306389696786,3
154,56372,238504.0,238533.0,249477.0,206118.0,238264.0,229886.0,215556.0,217876.0,194772.0,172684.0,10,-3.177644653067102,3
155,56376,3554.0,3547.0,3094.0,3533.0,3216.0,3602.0,3087.0,2666.0,2416.0,2081.0,10,-5.211540392185587,3
156,56377,461372.0,507969.0,489637.0,455350.0,481097.0,450729.0,429673.0,441562.0,517396.0,460098.0,10,-0.02764766488114745,3
157,56378,111903.0,114715.0,103590.0,97903.0,108686.0,76472.0,112378.0,111121.0,118805.0,120760.0,10,0.7646353211923529,3
158,56379,388129.0,378079.0,362419.0,361085.0,369592.0,294275.0,364441.0,344998.0,354385.0,384086.0,10,-0.10465792282067232,3
159,56380,349694.0,388053.0,379362.0,318460.0,336352.0,245186.0,281431.0,263119.0,236181.0,127214.0,10,-9.617432797062852,3
160,56383,208230.0,201466.0,217718.0,209253.0,204649.0,194481.0,174300.0,158114.0,139776.0,106826.0,10,-6.456553534954135,3
161,56386,74133.0,81421.0,91779.0,87478.0,84370.0,82577.0,72227.0,66759.0,48847.0,40004.0,10,-5.9823948869905275,3
162,56391,336215.0,338730.0,350944.0,364816.0,333469.0,342453.0,301738.0,321615.0,336621.0,299631.0,10,-1.145381175062754,3
163,56392,169603.0,155192.0,180425.0,164838.0,167626.0,169490.0,146839.0,146919.0,131509.0,181891.0,10,0.7019239655930987,3
164,56394,417897.0,395405.0,425923.0,363553.0,308508.0,386462.0,367110.0,335782.0,312715.0,271400.0,10,-4.224581359498069,3
165,56395,603156.0,559618.0,575256.0,505190.0,540048.0,528302.0,492902.0,512158.0,484260.0,476708.0,10,-2.3252566422231946,3
166,56399,63662.0,69583.0,66642.0,68114.0,68965.0,64338.0,61638.0,66519.0,67678.0,61799.0,10,-0.2965659234788087,3
167,56408,18415.0,5952.0,6271.0,6235.0,5891.0,23378.0,20756.0,15456.0,13200.0,14008.0,10,-2.6982971081431217,3
168,56413,4361.0,4770.0,5586.0,5325.0,5195.0,5051.0,4109.0,4280.0,3208.0,4086.0,10,-0.6492322456923771,3
169,56414,10882.0,1079.1,,10260.0,10234.0,8893.0,9016.0,8395.0,9833.0,9438.0,9,-1.569398499396557,3
170,56415,15827.0,14290.65,,15893.0,14930.0,13731.0,13915.0,13409.0,14823.0,13831.0,9,-1.4866704329643876,3
171,56416,167975.0,159872.0,163051.0,169116.0,170110.0,170916.0,158384.0,163112.0,169200.0,148354.0,10,-1.2344557943537504,3
172,56424,312189.0,308821.0,320129.0,314983.0,301552.0,284258.0,262109.0,259080.0,202560.0,27072.0,10,-21.691253090617877,3
173,56432,654028.0,658661.0,655215.0,590376.0,665167.0,637821.0,656244.0,441215.0,597835.0,686543.0,10,0.4863658959579409,3
174,56433,281975.0,273943.0,283265.0,122352.0,141609.0,256088.0,285293.0,257823.0,260357.0,215703.0,10,-2.6435884281015065,3
175,56434,59965.0,57909.0,61263.0,51242.0,56379.0,48173.0,61297.0,56106.0,62600.0,64325.0,10,0.7043418961494963,3
176,56435,34438.0,31830.0,33975.0,28758.0,31284.0,28090.0,32707.0,30219.0,33170.0,35057.0,10,0.1783057997769788,3
177,56437,54588.0,56038.0,59015.0,47104.0,52557.0,46049.0,56611.0,45845.0,58940.0,58962.0,10,0.7737691424841042,3
178,56439,36595.0,35646.0,38403.0,30428.0,38580.0,34625.0,37867.0,36487.0,40411.0,41189.0,10,1.189616428162421,3
179,56440,32486.0,32318.0,35321.0,28014.0,31054.0,29858.0,33492.0,31676.0,34404.0,35397.0,10,0.8618713423701907,3
180,56441,62085.0,62870.0,65089.0,53270.0,62402.0,54469.0,65012.0,60455.0,65964.0,66230.0,10,0.6483841542278546,3
181,56442,32751.0,31491.0,32787.0,26491.0,34029.0,30416.0,32515.0,30706.0,34130.0,34327.0,10,0.4710933777432258,3
182,56443,29246.0,28195.0,30056.0,23773.0,30264.0,26633.0,29883.0,28916.0,31616.0,32392.0,10,1.0269237037918488,3
183,56446,97965.0,102827.0,91212.0,102998.0,94980.0,86416.0,98294.0,87875.0,85267.0,102214.0,10,0.4254864608215225,3
184,56448,133105.0,136132.0,132558.0,141945.0,131836.0,134576.0,140753.0,139318.0,132410.0,115903.0,10,-1.37431542001073,3
185,56449,121218.0,101510.0,108980.0,110677.0,110484.0,90327.0,101594.0,88849.0,108503.0,110297.0,10,-0.9396955073121771,3
