,plant_id,YEAR,uptime
3552,56956,2019,739.0111111
3184,56839,2021,740.6
1724,56408,2015,742.2619048
5546,57638,2016,745
1723,56408,2014,746.547619
7534,59024,2016,752
3563,56959,2020,755.6122449
8711,61848,2020,758.1
5020,57415,2013,759.1266667
390,52163,2019,763.254717
7666,59238,2014,766.770858
7707,59302,2016,767.5555556
8590,61407,2017,768.6399108
7538,59024,2020,770
388,52163,2017,771.4622642
5588,57648,2018,773.5294118
5547,57638,2017,778
7539,59024,2021,780
8161,60217,2017,780.9578031
7287,58833,2015,785.9666667
5,90,2018,786.1538462
7535,59024,2017,787
7031,58548,2013,790.875
830,55980,2020,792
7916,59639,2017,794
2893,56779,2020,794.12
1195,56225,2016,802.6666667
88,6304,2021,802.7272727
203,10005,2019,802.9885057
6576,58101,2015,806.25
1146,56203,2017,807.5
7982,59734,2015,815.24
386,52163,2015,815.8490566
410,54453,2019,816.7741935
9001,63624,2021,819.209068
8620,61589,2018,819.7142857
6574,58101,2013,824.375
1150,56203,2021,829
7536,59024,2018,834
6575,58101,2014,838.125
84,6304,2017,839.5555556
7022,58511,2013,842.1052632
6522,58065,2018,842.6666667
7065,58594,2013,842.9812834
205,10005,2021,844.4252874
1149,56203,2020,844.5
1288,56275,2019,848.75
2317,56602,2020,849.6825397
9008,63666,2020,859.7538462
7484,58992,2017,860.8823529
441,54793,2021,863.4679543
3983,57093,2021,863.8235294
749,55803,2019,864.1111111
380,52162,2019,864.822695
429,54686,2019,865.3505535
322,50552,2020,871.8766067
701,55769,2021,872.8695652
8713,61858,2018,876.1625
8877,62516,2021,880.8982512
1148,56203,2019,882
5535,57637,2015,882
5543,57638,2013,884
5026,57415,2019,885.137931
83,6304,2016,886.8888889
389,52163,2018,887.9245283
1548,56360,2019,889.1213768
2177,56560,2020,895.9649123
2648,56669,2021,896.8055556
8204,60326,2016,898.6136636
7531,59024,2013,899
6577,58101,2016,900.625
430,54686,2020,905.6826568
8710,61848,2019,905.8
1792,56433,2015,906.3111111
366,50821,2015,908.1666667
751,55803,2021,912.7777778
1187,56215,2018,914.4736842
7277,58777,2021,914.6048387
7,90,2020,916.5384615
6581,58101,2020,917.1875
6579,58101,2018,918.4375
8878,62562,2020,923.3433433
750,55803,2020,924.3333333
8178,60259,2016,937.4875
8926,62840,2020,938.3750728
1210,56226,2021,938.4722222
8734,61916,2020,939.9494382
376,52162,2015,946.5957447
2836,56771,2019,948.85
5545,57638,2015,949
6,90,2019,949.2307692
3094,56819,2021,951.6
7697,59296,2018,952.7619048
9000,63601,2021,957.4159061
2418,56621,2021,962.6031746
2306,56594,2019,963.1014493
1058,56123,2019,964.9565217
1286,56275,2017,965
3154,56836,2021,966.8181818
7586,59076,2016,967.1
279,50532,2016,967.2985782
8773,62103,2020,968.935611
8662,61745,2018,969.1
6129,57889,2020,969.175
7994,59735,2020,969.2
7918,59639,2019,971
387,52163,2016,971.745283
8924,62836,2021,974.435307
709,55782,2019,974.6666667
278,50532,2015,975.1658768
6586,58102,2015,975.3333333
247,10823,2013,975.975
549,55396,2019,983.2121212
136,7855,2021,987.8571429
3494,56942,2021,989.5193798
295,50535,2013,992.3411371
744,55803,2014,993.7777778
5534,57637,2014,995
7532,59024,2014,995
7674,59244,2018,996.425
2257,56581,2020,1000.769231
771,55805,2021,1003.333333
1194,56225,2015,1003.333333
8709,61848,2018,1003.8
6523,58065,2019,1005.333333
6580,58101,2019,1006.25
131,7855,2016,1008.571429
548,55396,2018,1010.666667
860,55989,2021,1013.208469
561,55560,2021,1013.210854
8903,62653,2020,1014.888889
6582,58101,2021,1017.1875
7212,58766,2016,1018.217899
2186,56561,2019,1024.7
6614,58105,2013,1025
431,54686,2021,1030.295203
8666,61746,2018,1030.8
1197,56225,2018,1033
7325,58884,2014,1035.071713
1285,56275,2016,1038.333333
6578,58101,2017,1040.3125
5409,57594,2016,1042
7537,59024,2019,1042
8914,62752,2020,1042
2068,56493,2021,1043.925926
1793,56433,2016,1048.955556
385,52163,2014,1053.584906
7894,59622,2016,1053.75
4544,57258,2017,1055.263158
1650,56380,2021,1060.116667
5408,57594,2015,1065.333333
5488,57626,2013,1069.5
505,55342,2015,1070.098039
458,54979,2018,1071.341108
372,50821,2021,1071.59322
5583,57648,2013,1079.705882
8647,61673,2018,1080.85213
7480,58992,2013,1084.705882
370,50821,2019,1085.1875
3307,56878,2014,1087.641509
6888,58407,2019,1089.375
2247,56580,2020,1090.769231
133,7855,2018,1091.428571
323,50552,2021,1091.8509
8708,61848,2017,1094.2
5276,57520,2019,1095.711111
8587,61402,2019,1095.768141
282,50532,2019,1096.382979
8682,61776,2019,1096.470227
6098,57880,2019,1097.6
6589,58102,2018,1097.666667
6099,57880,2020,1098
85,6304,2018,1102.222222
6525,58065,2021,1104
3114,56826,2021,1105.47619
371,50821,2020,1107.242938
6524,58065,2020,1108.666667
3306,56878,2013,1108.95283
5544,57638,2014,1113
190,7974,2015,1113.461538
1976,56466,2019,1114.596391
6584,58102,2013,1115.333333
5489,57626,2014,1117.5
379,52162,2018,1118.156028
6097,57880,2018,1118.4
277,50532,2014,1119.38326
6587,58102,2016,1122.333333
4138,57118,2021,1123.44
608,55581,2018,1125.035971
7278,58780,2021,1127.005604
8856,62431,2020,1128.52381
3481,56941,2018,1131.366667
7318,58883,2015,1133.037297
377,52162,2016,1135.602837
368,50821,2017,1141.266667
6128,57889,2019,1142.425
2263,56590,2016,1143.846154
355,50820,2014,1147.380952
4124,57116,2017,1153.020408
283,50532,2020,1159.521277
7270,58775,2015,1159.561856
6591,58102,2020,1161.333333
5490,57626,2015,1162
3514,56946,2021,1165.873016
6585,58102,2014,1166.55
7990,59735,2016,1168.4
5536,57637,2016,1170
7639,59201,2015,1170.33
537,55368,2017,1171.060606
3493,56942,2020,1171.488372
378,52162,2017,1171.702128
129,7855,2014,1174.285714
770,55805,2020,1175.466667
1289,56275,2020,1175.833333
764,55805,2014,1176.333333
6100,57880,2021,1178
128,7855,2013,1179.285714
6490,58044,2016,1180.666667
281,50532,2018,1181.861702
134,7855,2019,1182.142857
365,50821,2014,1183.1
8,90,2021,1183.333333
6519,58065,2015,1185.333333
765,55805,2015,1186.4
6125,57889,2016,1186.765
620,55607,2020,1188.309179
8948,62952,2020,1190.076244
180,7966,2015,1191.73913
375,52162,2014,1194.255319
8993,63502,2021,1201.857486
811,55944,2021,1206.111111
87,6304,2020,1206.969697
201,10005,2017,1208.62069
7992,59735,2018,1209.2
3483,56941,2020,1211.509524
808,55944,2018,1212.777778
8466,61002,2016,1213.333333
3982,57093,2020,1216.882353
1159,56210,2020,1217
280,50532,2017,1219.62766
5407,57594,2014,1220
5495,57626,2020,1220
7817,59417,2021,1221.7
7204,58765,2014,1222.810118
3024,56800,2021,1223.333333
1147,56203,2018,1223.5
1610,56376,2021,1224.117647
7592,59083,2014,1224.267198
254,10823,2021,1224.3
7989,59735,2015,1224.8
384,52163,2013,1224.90566
6095,57880,2016,1226.8
106,7501,2019,1227
60,2022,2013,1227.25
2837,56771,2020,1227.670455
367,50821,2016,1230
6096,57880,2017,1230.8
321,50552,2019,1232.107969
509,55342,2019,1234.782609
634,55734,2014,1238.517857
3482,56941,2019,1243.795238
284,50532,2021,1247.074468
8769,62080,2020,1249.190222
7356,58887,2020,1250.568
4003,57095,2021,1251.765873
6592,58102,2021,1253.333333
426,54686,2015,1256.826568
2137,56538,2020,1260.18
5250,57514,2013,1260.180859
192,7974,2017,1263.846154
7487,58992,2020,1264.117647
507,55342,2017,1266.666667
7759,59321,2016,1268.21
6093,57880,2014,1268.4
1025,56106,2016,1273.142857
2274,56591,2017,1275.333333
1928,56450,2021,1277.675
5424,57595,2021,1278.044693
4043,57106,2021,1278.666667
6270,57976,2020,1282.275
7826,59442,2015,1282.803598
333,50553,2021,1283.3
6588,58102,2017,1285.333333
428,54686,2018,1285.867159
1209,56226,2020,1285.972222
6590,58102,2019,1287.333333
6520,58065,2016,1288.666667
5907,57813,2018,1291.6
4218,57135,2021,1292.364244
256,50276,2013,1292.542373
248,10823,2015,1297.725
311,50536,2019,1298.582575
103,7501,2016,1300
369,50821,2018,1302.416667
105,7501,2018,1306.333333
108,7501,2021,1306.333333
4722,57294,2015,1309.595238
8540,61221,2017,1311.664985
276,50532,2013,1311.780105
2226,56575,2019,1318.25
6199,57963,2019,1319.2
769,55805,2019,1319.733333
1282,56275,2013,1320
4712,57293,2015,1321.019608
374,52162,2013,1321.985816
2467,56634,2020,1323.725714
2266,56590,2019,1326.153846
1000,56094,2021,1327.22549
132,7855,2017,1328.571429
678,55742,2018,1329.066667
257,50276,2014,1330.508475
5493,57626,2018,1331
8595,61417,2019,1331.512658
488,55265,2018,1332
6912,58424,2018,1333
806,55944,2016,1333.333333
1283,56275,2014,1334.583333
1186,56215,2017,1335
6611,58104,2020,1335
1660,56383,2021,1335.325
804,55944,2014,1336.666667
7472,58981,2014,1338.74145
7366,58898,2015,1339.125714
23,692,2016,1341.311475
2458,56633,2021,1342.24
2468,56634,2021,1342.24
65,2022,2018,1343.5
8462,61001,2018,1343.96
3554,56956,2021,1345.155556
7364,58891,2020,1345.708502
100,7501,2013,1346
807,55944,2017,1346.111111
5494,57626,2019,1346.5
1670,56386,2021,1346.936027
5497,57628,2017,1348.59
844,55986,2015,1349.227273
411,54453,2020,1349.741935
2994,56795,2021,1350.233135
5296,57529,2019,1350.521739
2138,56538,2021,1351.6
425,54686,2014,1353.874539
146,7886,2021,1355.545455
7218,58767,2015,1355.712202
1116,56173,2017,1356.351852
5491,57626,2016,1359.5
8854,62417,2020,1359.675926
4321,57177,2014,1359.817629
234,10597,2020,1360.62069
2681,56679,2014,1364.099617
8516,61077,2019,1365.507188
8534,61161,2020,1368.722772
601,55579,2021,1369.975
5277,57520,2020,1370.565657
7026,58511,2017,1372.105263
810,55944,2020,1376.666667
107,7501,2020,1377.666667
809,55944,2019,1377.777778
850,55986,2021,1382.106061
803,55944,2013,1386.666667
427,54686,2016,1387.822878
