,Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap,cluster
552,57663,WT,KS,WNC,MRO,4853066,548741,57663,IPP Non-CHP,"Cimarron Windpower II, LLC",131,131,131,57,2300,80,108,9160.88,134.1,-100.3825096,37.89854823,4188.862595,0.113070995,9627.035088,85141.50877,2.298245614,2
553,57675,WT,IL,ENC,SERC,3958558,447598,57675,IPP Non-CHP,RWE Renewables Americas LLC,150.4,150.4,150.4,94,1600,80,82.5,5345.62,121.3,-88.01471818,40.46793756,2976.050532,0.113070972,4761.680851,42112.31915,1.6,1
554,57678,WT,KS,WNC,WECC,6742781,762413,57678,IPP Non-CHP,Pattern Operators LP,201,201,201,134,1500,80,82.5,5345.62,121.3,-98.33307847,38.84524076,3793.099502,0.113071001,5689.649254,50319.26119,1.5,1
555,57700,WT,CA,PACC,WECC,2235099,252725,57700,IPP Non-CHP,"Vasco Winds, LLC",78.2,78.2,78.2,34,2300,80,101,8011.85,130.5,-121.7047662,37.79200388,3231.777494,0.113071054,7433.088235,65738.20588,2.3,1
556,57701,WT,CA,PACC,WECC,2108799,238444,57701,IPP Non-CHP,"NextEra Energy Montezuma Wind II, LLC",78.2,78.2,78.2,34,2300,80,93,6792.91,126.5,-121.8217954,38.11861565,3049.15601,0.113070994,7013.058824,62023.5,2.3,1
557,57721,WT,MA,NEW,NPCC,383246,43334,57721,Electric Utility,Massachusetts Mun Wholes Electric Co,19.6,19.6,19.6,12,1633.333333,80,83.5,5641.911667,121.85,-73.27450075,42.587431,2210.918367,0.113070978,3611.166667,31937.16667,1.633333333,0
558,57725,WT,CA,PACC,WECC,2888846,326645,57725,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",102.5,102.5,102.5,58,2050,77.5,92.5,6720.06,123.69,-121.8503706,38.1350899,3186.780488,0.113071102,5631.810345,49807.68966,1.767241379,1
559,57732,WT,MN,WNC,MRO,44298,5009,57732,Commercial Non-CHP,University of Minnesota Morris Campus,1.7,0.6,0.9,1,1650,80,82,5281.02,121,-95.877892,45.58469,2946.470588,0.113075082,5009,44298,1.7,1
560,57744,WT,PA,MAT,RFC,1397078,157969,57744,IPP Non-CHP,Laurel Wind Energy LLC,69,69,69,30,2300,80,101,8011.85,130.5,-77.03009873,41.53197737,2289.405797,0.113070995,5265.633333,46569.26667,2.3,1
561,57748,WT,MT,MTN,WECC,610024,68976,57748,IPP Non-CHP,Gordon Butte Wind LLC,17.7,17.7,17.7,9,1500,80,77,4656.63,118.6,-110.334039,46.41209217,3896.949153,0.113070961,7664,67780.44444,1.966666667,2
562,57749,WT,ID,MTN,WECC,479123,54175,57749,IPP Non-CHP,Idaho Winds LLC,22.4,22.4,22.4,14,1600,80,82.5,5345.62,121.3,-115.3943155,42.98188707,2418.526786,0.113071174,3869.642857,34223.07143,1.6,0
563,57751,WT,TX,WSC,TRE,3225371,364696,57751,IPP Non-CHP,"Los Vientos Wind 1A, LLC",200,200,200,87,2300,98.1,108,9160.88,152.1,-97.58716815,26.32655415,1823.48,0.113071023,4191.908046,37073.22989,2.298850575,0
564,57752,WT,TX,WSC,TRE,4122045,466084,57752,IPP Non-CHP,"Los Vientos Wind 1B, LLC",201.6,201.6,201.6,84,2400,90,102,8171.28,141.1,-97.68056645,26.34816977,2311.924603,0.113071061,5548.619048,49071.96429,2.4,1
565,57755,WT,NE,WNC,MRO,1372032,155137,57755,IPP Non-CHP,TPW Petersburg LLC,40.5,40.5,40.5,27,1500,80,82.5,5345.62,121.3,-97.97385781,41.86455256,3830.54321,0.113070978,5745.814815,50816,1.5,1
566,57756,WT,WA,PACC,WECC,123320,13944,57756,IPP Non-CHP,Coastal Community Action Program,6,6,6,4,1500,80,77,4656.63,118.6,-124.0655098,46.792945,2324,0.113071683,3486,30830,1.5,0
567,57757,WT,CA,PACC,WECC,2915556,329665,57757,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",151.7,140,140,75,2050,78.5,92.5,6720.06,124.7,-118.4278033,34.89678939,2173.137772,0.113071057,4395.533333,38874.08,2.022666667,0
568,57760,WT,ID,MTN,WECC,538052,60838,57760,IPP Non-CHP,Power County Wind Park South LLC,22.5,22.5,22.5,9,2500,80,100,7853.98,130.1,-112.7598096,42.70492811,2703.911111,0.113070856,6759.777778,59783.55556,2.5,1
569,57761,WT,ID,MTN,WECC,584828,66127,57761,IPP Non-CHP,Power County Wind Park North LLC,22.5,22.5,22.5,9,2500,80,100,7853.98,130.1,-112.7536654,42.74071644,2938.977778,0.113070852,7347.444444,64980.88889,2.5,1
570,57762,WT,KS,WNC,MRO,5623440,635848,57762,IPP Non-CHP,Cimarron Wind Energy LLC,165.6,165.6,165.6,72,2300,80,108,9160.88,134.1,-100.2739423,37.8725699,3839.661836,0.113071003,8831.222222,78103.33333,2.3,2
571,57766,WT,ID,MTN,WECC,2441757,276092,57766,IPP Non-CHP,Ridgeline Energy LLC,79.2,79.2,79.2,44,1800,80,100,7853.98,130.1,-112.9169221,42.68774186,3486.010101,0.113071039,6274.818182,55494.47727,1.8,1
572,57767,WT,IL,ENC,SERC,25390,2871,57767,Electric Utility,Adams Electric Cooperative,1.5,1.5,1.5,1,1200,80,64,3295.53,112.8,-90.945831,39.903387,1914,0.113076014,2871,25390,1.5,0
573,57769,WT,PA,MAT,RFC,3374093,381512,57769,IPP Non-CHP,AE Power Services LLC,140.8,140.8,140.8,88,1600,94.77272727,82.5,5345.62,135.925,-76.07719258,41.46764411,2709.602273,0.113070979,4335.363636,38341.96591,1.6,1
574,57774,WT,CA,PACC,WECC,1906590,215580,57774,IPP Non-CHP,Brookfield Renewable Trading and Marketing LP,120,120,120,60,2000,67,82.68333333,5378.499833,108.38,-118.3257992,35.03636668,1796.5,0.11307098,3593,31776.5,2,0
575,57775,WT,AZ,MTN,WECC,183106,20704,57775,IPP Non-CHP,Brookfield Renewable Trading and Marketing LP,10,10,10,5,2000,78,90,6361.73,123.1,-114.0678696,35.145736,2070.4,0.113071117,4140.8,36621.2,2,0
576,57787,WT,KS,WNC,MRO,15208761,1719670,57787,IPP Non-CHP,AE Power Services LLC,470.4,470.4,470.4,294,1606.101695,80,98.56271186,7642.694915,129.3589831,-98.25148063,37.36927891,3655.761054,0.113071012,5849.217687,51730.47959,1.6,1
577,57800,WT,ND,WNC,MRO,2651165,299770,57800,Electric Utility,"ALLETE, Inc.",105,105,105,35,3000,80,101,8011.85,130.5,-101.5645067,46.95051471,2854.952381,0.113071046,8564.857143,75747.57143,3,2
578,57801,WT,ND,WNC,MRO,2661432,300931,57801,Electric Utility,"ALLETE, Inc.",105,105,105,35,3000,80,101,8011.85,130.5,-101.6079156,46.9644404,2866.009524,0.113071084,8598.028571,76040.91429,3,2
579,57802,WT,TX,WSC,TRE,4378047,495030,57802,IPP Non-CHP,RWE Renewables Americas LLC,203,203,203,112,1815,80,100,7853.98,130.1,-97.6792687,26.4624866,2438.571429,0.113070965,4419.910714,39089.70536,1.8125,1
580,57803,WT,OR,PACC,WECC,55796,6309,57803,IPP Non-CHP,Lime Wind LLC,3,3,3,6,500,40,41,1320.25,60.4,-117.2727318,44.39690917,2103,0.113072622,1051.5,9299.333333,0.5,0
581,57813,WT,MN,WNC,MRO,81020,9161,57813,IPP Non-CHP,GL Wind LLC,5,4.8,4.8,2,2500,80,96,7238.23,128,-91.871788,43.9947945,1832.2,0.113070847,4580.5,40510,2.5,0
582,57823,WT,MN,WNC,MRO,38346,4336,57823,IPP Non-CHP,University of Minnesota WCROC,1.7,0.4,0.7,1,1650,70,82,5281.02,110.9,-95.877083,45.589645,2550.588235,0.113075679,4336,38346,1.7,1
583,57830,WT,IA,WNC,MRO,1101618,124561,57830,IPP Non-CHP,Greenbacker Renewable Energy Corporation,50,50,50,20,2500,100,100,7853.98,150,-94.20684735,41.99419305,2491.22,0.113070956,6228.05,55080.9,2.5,1
584,57832,WT,IA,WNC,MRO,1155910,130700,57832,IPP Non-CHP,Greenbacker Renewable Energy Corporation,35,34,34,15,2500,100,100,7853.98,150,-92.02945913,42.93115247,3734.285714,0.113071087,8713.333333,77060.66667,2.333333333,2
585,57833,WT,CA,PACC,WECC,2625032,296815,57833,IPP Non-CHP,Longroad Energy Services 2,150,150,150,50,3000,80,90,6361.73,125,-118.2476239,35.03168986,1978.766667,0.113071003,5936.3,52500.64,3,1
586,57834,WT,CA,PACC,WECC,2764909,312631,57834,IPP Non-CHP,"Pinyon Pines Wind I, LLC",168,168,168,56,3000,80,90,6361.73,125,-118.273036,35.04580118,1860.89881,0.113070991,5582.696429,49373.375,3,1
587,57837,WT,CA,PACC,WECC,2018562,228241,57837,IPP Non-CHP,"Pinyon Pines Wind II, LLC",132,132,132,44,3000,80,90,6361.73,125,-118.220077,35.06221848,1729.098485,0.113071087,5187.295455,45876.40909,3,0
588,57844,WT,IA,WNC,MRO,1823216,206153,57844,Electric Utility,Interstate Power and Light Co,99,99,99,60,1650,80,82,5281.02,121,-93.33460782,42.61071205,2082.353535,0.113071079,3435.883333,30386.93333,1.65,0
589,57851,WT,MI,ENC,RFC,2162439,244509,57851,Electric Utility,DTE Electric Company,64,64,64,40,1600,100,100,7853.98,150,-82.79045188,43.85645388,3820.453125,0.113070935,6112.725,54060.975,1.6,1
590,57852,WT,MI,ENC,RFC,964596,109068,57852,Electric Utility,DTE Electric Company,32,32,32,20,1600,96,100,7853.98,146,-82.78185035,43.63665705,3408.375,0.113071172,5453.4,48229.8,1.6,1
591,57853,WT,MI,ENC,RFC,434364,49114,57853,Electric Utility,DTE Electric Company,14.4,14,14,9,1600,100,100,7853.98,150,-83.25702578,43.87495456,3410.694444,0.113071065,5457.111111,48262.66667,1.6,1
592,57855,WT,MA,NEW,NPCC,32166,3637,57855,Electric Utility,Town of Ipswich - (MA),1.6,1.6,1.6,1,1600,80,82.5,5345.62,121.3,-70.841103,42.716091,2273.125,0.113069701,3637,32166,1.6,0
593,57858,WT,KS,WNC,MRO,5948138,672562,57858,IPP Non-CHP,Caney River Wind Project,200,200,200,111,1800,80,90,6361.73,125,-96.43410018,37.42759563,3362.81,0.113071015,6059.117117,53586.82883,1.801801802,1
594,57862,WT,IN,ENC,RFC,5660973,640092,57862,IPP Non-CHP,RWE Renewables Americas LLC,200,200,200,125,1600,100,100,7853.98,150,-85.86404498,40.34003982,3200.46,0.113071022,5120.736,45287.784,1.6,1
595,57866,WT,TX,WSC,MRO,1789539,202345,57866,Electric Utility,"Golden Spread Electric Cooperative, Inc",78.2,78.2,78.2,34,2300,80,101,8011.85,130.5,-102.202636,35.23365438,2587.531969,0.11307102,5951.323529,52633.5,2.3,1
596,57867,WT,NY,MAT,NPCC,961964,108770,57867,IPP Non-CHP,Longroad Energy Services 2,55.4,55.4,55.4,27,2050,78.55555556,92.48148148,6717.376667,124.7037037,-77.53695607,42.31271607,1963.357401,0.113070759,4028.518519,35628.2963,2.051851852,0
597,57873,WT,IA,WNC,MRO,6022093,680924,57873,Electric Utility,MidAmerican Energy Co,200.1,200.1,200.1,87,2300,80,108,9160.88,134.1,-94.67948286,41.55610439,3402.918541,0.113070987,7826.712644,69219.45977,2.3,2
598,57874,WT,IA,WNC,MRO,4323425,488854,57874,Electric Utility,MidAmerican Energy Co,150.2,150.2,150.2,64,2335.15625,80,108,9160.88,134.1,-92.78239325,42.15926427,3254.687084,0.113071003,7638.34375,67553.51563,2.346875,2
599,57875,WT,IA,WNC,MRO,2861714,323577,57875,Electric Utility,MidAmerican Energy Co,101.2,101.2,101.2,44,2300,80,108,9160.88,134.1,-94.57776775,41.44187211,3197.401186,0.113071048,7354.022727,65038.95455,2.3,1
600,57880,WT,MN,WNC,MRO,26046,2945,57880,IPP Non-CHP,Regents of the University of Minnesota,2.5,2.5,2.5,1,2500,80,96,7238.23,128,-93.048073,44.728298,1178,0.113069185,2945,26046,2.5,0
601,57887,WT,NM,MTN,MRO,692113,78258,57887,IPP Non-CHP,"Wildcat Wind, LLC",27.3,27.3,27.3,13,2100,90,97,7389.81,138.4,-103.2795915,32.95541031,2866.593407,0.113071131,6019.846154,53239.46154,2.1,1
602,57888,WT,MI,ENC,RFC,1638121,185224,57888,IPP Non-CHP,"Harvest II Windfarm, LLC",59.4,59.4,59.4,33,1800,95,100,7853.98,145.1,-83.20806842,43.82953903,3118.249158,0.113071012,5612.848485,49640.0303,1.8,1
603,57889,WT,OK,WSC,MRO,102714,11614,57889,IPP Non-CHP,DeWind Co.,40,40,40,20,2000,80,93,6792.91,126.5,-101.4749611,36.57487855,290.35,0.113071246,580.7,5135.7,2,0
604,57890,WT,ID,MTN,WECC,1548779,175122,57890,Electric Utility,Utah Associated Mun Power Sys,57.6,57.6,57.6,32,1800,80,100,7853.98,130.1,-111.7394538,43.40483463,3040.3125,0.113071006,5472.5625,48399.34375,1.8,1
605,57913,WT,CA,PACC,WECC,3030998,342718,57913,IPP Non-CHP,Avangrid Renewables LLC,143,143,143,57,2300,80,107,8992.02,133.5,-116.2978899,32.76318375,2396.629371,0.113071008,6012.596491,53175.40351,2.50877193,1
606,57927,WT,TX,WSC,TRE,3882288,438974,57927,IPP Non-CHP,Avangrid Renewables LLC,188,188,188,101,2000,90,97,7389.81,138.4,-97.58823324,27.17190165,2334.968085,0.113070952,4346.277228,38438.49505,1.861386139,0
607,57935,WT,AK,PACN,,500995,56648,57935,Electric Utility,Golden Valley Elec Assn Inc,24.6,24.6,24.6,12,2050,78.5,92.5,6720.06,124.7,-148.9028588,64.06485708,2302.764228,0.113070989,4720.666667,41749.58333,2.05,1
608,57947,WT,NM,MTN,WECC,1099530,124325,57947,IPP Non-CHP,Capital Power Corporation,50.4,50.4,50.4,28,1800,80,100,7853.98,130.1,-107.5090123,32.55568464,2466.765873,0.113071039,4440.178571,39268.92857,1.8,1
609,57956,WT,OK,WSC,MRO,2609768,295089,57956,IPP Non-CHP,"FPLE Wind, LLC",100.8,100.8,100.8,63,1600,80,82.5,5345.62,121.3,-98.05861103,35.32923683,2927.470238,0.11307097,4683.952381,41424.88889,1.6,1
610,57962,WT,CA,PACC,WECC,2426546,274372,57962,IPP Non-CHP,"Coram California Development, L.P.",102,102,102,34,3000,80,90,6361.73,125,-118.3063411,35.05694671,2689.921569,0.113071007,8069.764706,71369,3,2
611,57963,WT,MT,MTN,WECC,211867,23956,57963,IPP Non-CHP,Musselshell Wind Project LLC,10,10,10,7,1500,75,87,5944.68,118.6,-109.4713156,46.283322,2395.6,0.113070936,3422.285714,30266.71429,1.428571429,0
612,57964,WT,IL,ENC,MRO,2823986,319311,57964,IPP Non-CHP,Algonquin Power Co,109.5,109.5,109.5,71,1542.253521,85.63380282,82.76056338,5389.73662,126.9183099,-89.09324292,41.66512487,2916.082192,0.113071028,4497.338028,39774.4507,1.542253521,1
613,57965,WT,MT,MTN,WECC,254432,28769,57965,IPP Non-CHP,Musselshell Wind Project Two LLC,10,10,10,7,1500,75,87,5944.68,118.6,-109.5025743,46.26536514,2876.9,0.113071469,4109.857143,36347.42857,1.428571429,1
614,57968,WT,WI,ENC,MRO,93285,10548,57968,IPP Non-CHP,Cashton Greens Wind Farm LLC,5,4.8,4.8,2,2500,100,96,7238.23,148.1,-90.8045425,43.736393,2109.6,0.113072841,5274,46642.5,2.5,1
615,57973,WT,TX,WSC,MRO,5770277,652451,57973,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",161,161,161,70,2300,80,104.4,8569.950286,132.2485714,-102.473205,35.30678689,4052.490683,0.113071002,9320.728571,82432.52857,2.3,2
616,57974,WT,TX,WSC,TRE,4580653,517939,57974,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",161,161,161,100,1620,80,91,6503.88,125.6,-98.57871387,33.50354968,3217.012422,0.113070997,5179.39,45806.53,1.61,1
617,57975,WT,KS,WNC,MRO,2904246,328386,57975,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",108,108,108,63,1600,80,82.5,5345.62,121.3,-99.84624027,37.84068283,3040.611111,0.113071,5212.47619,46099.14286,1.714285714,1
618,57976,WT,IA,WNC,MRO,1626333,183891,57976,Electric Utility,MidAmerican Energy Co,80,83.2,83.2,40,2000,100,90,6361.73,145.1,-94.60814913,42.5979445,2298.6375,0.113070939,4597.275,40658.325,2,1
619,57979,WT,VT,NEW,NPCC,1337612,151245,57979,Electric Utility,Green Mountain Power Corp,65,65,65,21,3000,84,112,9852.03,139.9047619,-72.42503576,44.75059462,2326.846154,0.113070905,7202.142857,63695.80952,3.095238095,2
620,57980,WT,CO,MTN,WECC,773097,87415,57980,Electric Utility,"Black Hills Colorado Electric, LLC",29,29,29,16,1800,80,100,7853.98,130.1,-104.4718514,37.78188769,3014.310345,0.113071193,5463.4375,48318.5625,1.8125,1
621,57981,WT,TX,WSC,TRE,4249577,480504,57981,IPP Non-CHP,Algonquin Power Co,150,150,150,75,2000,100,90,6361.73,145.1,-98.36363561,33.19810733,3203.36,0.113071019,6406.72,56661.02667,2,1
622,57983,WT,TX,WSC,TRE,11051393,1249592,57983,IPP Non-CHP,Stephens Ranch Wind Energy LLC,376,376,376,210,1790,80,100,7853.98,130.1,-101.657467,32.9451718,3323.382979,0.113070995,5950.438095,52625.68095,1.79047619,1
623,57984,WT,MI,ENC,RFC,2117147,239388,57984,Electric Utility,Consumers Energy Co,100.8,100.8,100.8,56,1800,80,100,7853.98,130.1,-86.35331254,43.86887279,2374.880952,0.113071034,4274.785714,37806.19643,1.8,0
624,57987,WT,OK,WSC,MRO,7387074,835264,57987,IPP Non-CHP,Canadian Hills Wind LLC,293.7,293.7,293.7,133,2210.740741,79.18888889,96.86296296,7386.546222,127.6392593,-98.09293302,35.65963656,2843.935989,0.113071021,6280.180451,55541.90977,2.208270677,1
625,57991,WT,PA,MAT,RFC,1527455,172711,57991,IPP Non-CHP,Longroad Energy Services 2,75,75,75,30,2500,100,100,7853.98,150,-78.6784971,40.32184557,2302.813333,0.113071089,5757.033333,50915.16667,2.5,1
626,57995,WT,MT,MTN,WECC,5703938,644950,57995,IPP Non-CHP,NaturEner Rim Rock Energy LLC,189,184.6,184.6,126,1500,80,77,4656.63,118.6,-112.1063991,48.82858747,3412.433862,0.113071005,5118.650794,45269.34921,1.5,1
627,57996,WT,HI,PACN,,862573,97532,57996,IPP Non-CHP,Auwahi Wind Energy LLC,24,24,24,8,3000,80,101,8011.85,130.5,-156.3182868,20.59638475,4063.833333,0.11307101,12191.5,107821.625,3,2
628,57998,WT,PA,MAT,RFC,3611059,408306,57998,IPP Non-CHP,Longroad Energy Services 2,139.4,139.4,139.4,68,2050,92.02941176,92.5,6720.06,138.2970588,-78.87061597,39.76643803,2929.02439,0.113070986,6004.5,53103.80882,2.05,1
629,57999,WT,PA,MAT,RFC,678078,76671,57999,IPP Non-CHP,Longroad Energy Services 2,30,30,30,15,2000,99.33333333,97,7389.81,147.74,-78.69193367,40.63795813,2555.7,0.113071063,5111.4,45205.2,2,1
630,58000,WT,TX,WSC,TRE,2792404,315740,58000,IPP Non-CHP,RWE Renewables Americas LLC,99.8,99.8,99.8,55,1800,80,100,7853.98,130.1,-100.1920981,29.19019753,3163.727455,0.113071031,5740.727273,50770.98182,1.814545455,1
631,58004,WT,NH,NEW,NPCC,1994871,225562,58004,IPP Non-CHP,NexteraEnergy,99,99,99,33,3000,80,90,6361.73,125,-71.30484473,44.78016679,2278.40404,0.113070971,6835.212121,60450.63636,3,1
632,58008,WT,IL,ENC,SERC,6910136,781336,58008,IPP Non-CHP,SunEdison LLC,217,200,200,134,1620,100,100,7853.98,150,-87.8937719,40.21892957,3600.626728,0.113071002,5830.865672,51568.1791,1.619402985,1
633,58018,WT,KS,WNC,MRO,3801673,429859,58018,IPP Non-CHP,"Shooting Star Power Partners, LLC",104,104,104,65,1600,80,82.5,5345.62,121.3,-99.45061402,37.51496309,4133.259615,0.113071008,6613.215385,58487.27692,1.6,1
634,58019,WT,ID,MTN,WECC,828241,93650,58019,IPP Non-CHP,"High Mesa Energy, LLC",40,39.9,39.9,19,2100,90,97,7389.81,138.4,-115.0401878,42.89193611,2341.25,0.113070954,4928.947368,43591.63158,2.105263158,1
635,58020,WT,MI,ENC,RFC,1698030,191998,58020,IPP Non-CHP,"Beebe Renewable Energy, LLC",81.6,81.6,81.6,34,2400,91,117,10751.32,149.4,-84.51723947,43.27123118,2352.916667,0.113071029,5647,49942.05882,2.4,1
636,58021,WT,TX,WSC,TRE,2087200,236002,58021,IPP Non-CHP,"Whitetail Wind Energy, LLC",92,91.2,91.2,57,1600,80,82.5,5345.62,121.3,-98.98592386,27.49050895,2565.23913,0.1130711,4140.385965,36617.54386,1.614035088,1
637,58026,WT,ME,NEW,NPCC,510458,57718,58026,IPP Non-CHP,Spruce Mountain Wind LLC,20,20,20,10,2000,78,90,6361.73,123.1,-70.5590179,44.415861,2885.9,0.113071007,5771.8,51045.8,2,1
638,58035,WS,RI,NEW,NPCC,744735,84208,58035,IPP Non-CHP,Deepwater Wind Block Island LLC,30,29.3,29.3,5,6000,106,150,17671.46,181.1,-71.5218874,41.1153922,2806.933333,0.113071092,16841.6,148947,6,2
639,58038,WT,IA,WNC,MRO,45175,5108,58038,IPP Non-CHP,Buffalo Center Wind LLC,1.5,1.5,1.5,1,1500,85,82,5281.02,125.9,-92.760696,43.384392,3405.333333,0.113071389,5108,45175,1.5,1
640,58041,WT,OK,WSC,MRO,8901529,1006505,58041,IPP Non-CHP,Chisholm View Wind Project,300,300,300,167,1796.407186,80,86.46107784,5935.157725,123.2724551,-97.69546335,36.57282634,3355.016667,0.113071024,6026.976048,53302.56886,1.796407186,1
641,58044,WT,IA,WNC,MRO,130777,14787,58044,IPP Non-CHP,"Acciona Energy USA Global, LLC",6,5.9,5.9,2,3000,96,116,10568.32,153.95,-91.232693,41.852642,2464.5,0.113070341,7393.5,65388.5,3,2
642,58045,WT,MN,WNC,MRO,666148,75322,58045,IPP Non-CHP,Greenbacker Renewable Energy Corporation,30,30,30,15,2050,100,92.5,6720.06,146.3,-95.8052882,43.7154218,2510.733333,0.113070969,5021.466667,44409.86667,2,1
643,58048,WT,TX,WSC,TRE,519434,58733,58048,IPP Non-CHP,BayWa r.e Wind LLC,30,30,30,12,2500,80,100,7853.98,130.1,-100.5309397,32.99173833,1957.766667,0.113071151,4894.416667,43286.16667,2.5,0
644,58065,WT,MA,NEW,NPCC,14646,1656,58065,IPP Non-CHP,MWRA Charlestown,1.5,1.5,1.5,1,1500,70,82,5281.02,110.9,-71.070999,42.391491,1104,0.113068415,1656,14646,1.5,0
645,58071,WT,IA,WNC,MRO,36322,4107,58071,IPP Non-CHP,Consolidated Edison Development Inc.,1.6,1.6,1.6,1,1600,80,82.5,5345.62,121.3,-93.221489,43.384693,2566.875,0.113071967,4107,36322,1.6,1
646,58078,WT,OK,WSC,MRO,5218915,590108,58078,IPP Non-CHP,Rocky Ridge Wind Project LLC,148.8,148.8,148.8,93,1600,80,82.5,5345.62,121.3,-99.00095209,35.12939067,3965.77957,0.113071012,6345.247312,56117.36559,1.6,1
647,58080,WT,TX,WSC,TRE,3292824,372323,58080,IPP Non-CHP,NextEra Wolf Ridge LLC,112.5,112.5,112.5,75,1600,80,91,6503.88,125.5,-97.40643828,33.73177957,3309.537778,0.11307103,4964.306667,43904.32,1.5,1
648,58088,WT,NY,MAT,NPCC,2173706,245783,58088,IPP Non-CHP,Invenergy Services LLC,94.4,94.4,94.4,58,1620,80,100.3103448,7903.460345,130.2344828,-78.24060376,42.7461636,2603.633475,0.113070949,4237.637931,37477.68966,1.627586207,1
649,58098,WT,NM,MTN,WECC,10681023,1207714,58098,IPP Non-CHP,Avangrid Renewables LLC,298,298,298,142,2100,80,114,10207.03,136.9,-105.6417562,34.72119557,4052.731544,0.113071005,8505.028169,75218.47183,2.098591549,2
650,58099,WT,OR,PACC,WECC,4675283,528639,58099,IPP Non-CHP,Avangrid Renewables LLC,200,200,200,56,3586.607143,82.44642857,135.1071429,14342.99321,150,-120.1156197,45.54294818,2643.195,0.113071016,9439.982143,83487.19643,3.571428571,2
651,58101,WT,CA,PACC,WECC,28787,3255,58101,IPP Non-CHP,Foundation CA Fund VI Manager LLC,3.2,3.2,3.2,2,1600,80,82.5,5345.62,121.3,-117.3065375,34.5610465,1017.1875,0.113071873,1627.5,14393.5,1.6,0
652,58102,WT,CA,PACC,WECC,33253,3760,58102,IPP Non-CHP,Foundation CA Fund VI Manager LLC,3,3,3,2,1500,80,77,4656.63,118.6,-117.112557,34.6232,1253.333333,0.113072505,1880,16626.5,1.5,0
653,58103,WT,MI,ENC,RFC,596959,67499,58103,IPP Non-CHP,DTE Sustainable Generation,28,28,28,14,2000,90,97,7389.81,138.4071429,-86.54291579,45.79964386,2410.678571,0.113071417,4821.357143,42639.92857,2,1
654,58104,WT,CA,PACC,WECC,13044,1475,58104,Industrial Non-CHP,Foundation CA Fund VI Manager LLC,1,1,1,1,1000,55,61.4,2960.92,85.6,-121.81749,38.420094,1475,0.11307881,1475,13044,1,0
655,58105,WT,CA,PACC,WECC,15531,1756,58105,Commercial Non-CHP,Foundation CA Fund VI Manager LLC,1,1,1,1,1500,72.5,77,4656.63,111.1,-122.064537,39.399395,1756,0.113064194,1756,15531,1,0
656,58106,WT,ID,MTN,WECC,2700039,305296,58106,IPP Non-CHP,Ridgeline Energy LLC,119.7,115.8,115.8,57,2100,90,97,7389.81,138.4,-111.8144092,43.55108904,2550.509607,0.113070959,5356.070175,47369.10526,2.1,1
657,58111,WT,IL,ENC,SERC,2504275,283161,58111,IPP Non-CHP,"Bishop Hill Energy II, LLC",81,81,81,50,1620,100,100,7853.98,150,-90.17480372,41.23863194,3495.814815,0.113071049,5663.22,50085.5,1.62,1
658,58113,WT,CA,PACC,WECC,85169,9630,58113,IPP Non-CHP,"Foundation CA Fund V Manager, LLC",2,2,2,2,1600,80,82.5,5345.62,121.3,-116.813236,33.9158955,4815,0.113069309,4815,42584.5,1,1
659,58114,WT,CA,PACC,WECC,215210,24334,58114,IPP Non-CHP,"Foundation CA Fund V Manager, LLC",5.1,5.1,5.1,3,1500,80,82.5,5345.62,121.3,-116.749889,33.916994,4771.372549,0.113070954,8111.333333,71736.66667,1.7,2
660,58121,WT,MI,ENC,RFC,3292622,372300,58121,Electric Utility,DTE Electric Company,162,162,162,100,1630,96,100,7853.98,146,-83.16156473,43.87658761,2298.148148,0.113070981,3723,32926.22,1.62,0
661,58126,WT,CO,MTN,WECC,6250319,706730,58126,IPP Non-CHP,Limon,200,200,200,125,1600,80,99.896,7838.7056,130.0464,-103.6417822,39.39635334,3533.65,0.113071029,5653.84,50002.552,1.6,1
662,58127,WT,CO,MTN,WECC,5272563,596174,58127,IPP Non-CHP,Limon,200,200,200,125,1600,80,87.104,5959.9544,123.4536,-103.5649663,39.3348188,2980.87,0.113071006,4769.392,42180.504,1.6,1
663,58137,WT,KS,WNC,MRO,3306090,373823,58137,IPP Non-CHP,NextEra Energy Resources Ensign Wind,98.9,98.9,98.9,43,2300,80,107.3488372,9053.993488,133.7651163,-100.2802304,37.61258449,3779.807887,0.11307103,8693.55814,76885.81395,2.3,2
664,58141,WT,NH,NEW,NPCC,1008915,114079,58141,IPP Non-CHP,Avangrid Renewables LLC,48,48,48,24,2000,78,87,5944.68,121.6,-71.80639075,43.76169108,2376.645833,0.113070972,4753.291667,42038.125,2,1
