Plant Id,"Reported
Prime Mover",YEAR,Month,Quantity,Elec_Quantity,MMBtuPer_Unit,Tot_MMBtu,Elec_MMBtu,Netgen,date
56648,WT,2021,January,0,0,0,257729,257729,29141.654,January 2021
56649,WT,2021,January,0,0,0,178505,178505,20183.701,January 2021
56650,WT,2021,January,0,0,0,153930,153930,17405,January 2021
56651,WT,2021,January,0,0,0,151356,151356,17114,January 2021
56654,WT,2021,January,0,0,0,131075,131075,14820.836,January 2021
56659,WT,2021,January,0,0,0,221008,221008,24989.59,January 2021
56661,WT,2021,January,0,0,0,47280,47280,5346,January 2021
56665,WT,2021,January,0,0,0,224754,224754,25413.135,January 2021
56666,WT,2021,January,0,0,0,156274,156274,17670.099,January 2021
56669,WT,2021,January,0,0,0,169778,169778,19197,January 2021
56670,WT,2021,January,0,0,0,19472,19472,2201.709,January 2021
56673,WT,2021,January,0,0,0,131925,131925,14916.899,January 2021
56677,WT,2021,January,0,0,0,194557,194557,21998.72,January 2021
56679,WT,2021,January,0,0,0,267123,267123,30203.923,January 2021
56699,WT,2021,January,0,0,0,56113,56113,6344.72,January 2021
56700,WT,2021,January,0,0,0,95039,95039,10746.153,January 2021
56702,WT,2021,January,0,0,0,211667,211667,23933.401,January 2021
56750,WT,2021,January,0,0,0,120238,120238,13595.397,January 2021
56751,WT,2021,January,0,0,0,39948,39948,4517,January 2021
56752,WT,2021,January,0,0,0,202811,202811,22932,January 2021
56753,WT,2021,January,0,0,0,135207,135207,15288,January 2021
56754,WT,2021,January,0,0,0,283267,283267,32029.333,January 2021
56755,WT,2021,January,0,0,0,35383,35383,4000.751,January 2021
56763,WT,2021,January,0,0,0,1551874,1551874,175472,January 2021
56764,WT,2021,January,0,0,0,45098,45098,5099.221,January 2021
56765,WT,2021,January,0,0,0,254080,254080,28729.136,January 2021
56767,WT,2021,January,0,0,0,160238,160238,18118.325,January 2021
56770,WT,2021,January,0,0,0,181764,181764,20552.252,January 2021
56771,WT,2021,January,0,0,0,153874,153874,17398.674,January 2021
56773,WT,2021,January,0,0,0,298324,298324,33731.748,January 2021
56774,WT,2021,January,0,0,0,256126,256126,28960.379,January 2021
56775,WT,2021,January,0,0,0,156289,156289,17671.702,January 2021
56776,WT,2021,January,0,0,0,341479,341479,38611.388,January 2021
56777,WT,2021,January,0,0,0,1046546,1046546,118334,January 2021
56779,WT,2021,January,0,0,0,0,0,0,January 2021
56782,WT,2021,January,0,0,0,74890,74890,8467.878,January 2021
56783,WT,2021,January,0,0,0,308138,308138,34841.449,January 2021
56784,WT,2021,January,0,0,0,293594,293594,33197,January 2021
56789,WT,2021,January,0,0,0,76169,76169,8612.491,January 2021
56790,WT,2021,January,0,0,0,75492,75492,8535.914,January 2021
56791,WT,2021,January,0,0,0,68141,68141,7704.769,January 2021
56792,WT,2021,January,0,0,0,70098,70098,7926,January 2021
56793,WT,2021,January,0,0,0,108385,108385,12255.173,January 2021
56794,WT,2021,January,0,0,0,65185,65185,7370.535,January 2021
56795,WT,2021,January,0,0,0,144723,144723,16364,January 2021
56796,WT,2021,January,0,0,0,91556,91556,10352.376,January 2021
56797,WT,2021,January,0,0,0,561435,561435,63482,January 2021
56800,WT,2021,January,0,0,0,1338,1338,151.259,January 2021
56804,WT,2021,January,0,0,0,189271,189271,21401.048,January 2021
56805,WT,2021,January,0,0,0,181130,181130,20480.548,January 2021
56809,WT,2021,January,0,0,0,416493,416493,47093.318,January 2021
56810,WT,2021,January,0,0,0,377656,377656,42701.95,January 2021
56811,WT,2021,January,0,0,0,406492,406492,45962.441,January 2021
56818,WT,2021,January,0,0,0,115871,115871,13101.637,January 2021
56819,WT,2021,January,0,0,0,36497,36497,4126.704,January 2021
56823,WT,2021,January,0,0,0,280459,280459,31711.792,January 2021
56824,WT,2021,January,0,0,0,3221,3221,364.239,January 2021
56825,WT,2021,January,0,0,0,3221,3221,364.239,January 2021
56826,WT,2021,January,0,0,0,3221,3221,364.239,January 2021
56827,WT,2021,January,0,0,0,1610,1610,182.081,January 2021
56828,WT,2021,January,0,0,0,1610,1610,182.081,January 2021
56829,WT,2021,January,0,0,0,254911,254911,28823,January 2021
56831,WT,2021,January,0,0,0,174095,174095,19685.062,January 2021
56835,WT,2021,January,0,0,0,3323,3323,375.681,January 2021
56836,WT,2021,January,0,0,0,6214,6214,702.637,January 2021
56837,WT,2021,January,0,0,0,4178,4178,472.389,January 2021
56838,WT,2021,January,0,0,0,4300,4300,486.181,January 2021
56839,WT,2021,January,0,0,0,5409,5409,611.628,January 2021
56840,WT,2021,January,0,0,0,1610,1610,182.081,January 2021
56841,WT,2021,January,0,0,0,476571,476571,53886.409,January 2021
56842,WT,2021,January,0,0,0,302882,302882,34247.134,January 2021
56843,WT,2021,January,0,0,0,488864,488864,55276.349,January 2021
56854,WT,2021,January,0,0,0,74228,74228,8393.01,January 2021
56855,WT,2021,January,0,0,0,76627,76627,8664.282,January 2021
56856,WT,2021,January,0,0,0,204469,204469,23119.478,January 2021
56857,WT,2021,January,0,0,0,322258,322258,36438,January 2021
56858,WT,2021,January,0,0,0,152902,152902,17288.774,January 2021
56859,WT,2021,January,0,0,0,52458,52458,5931.532,January 2021
56860,WT,2021,January,0,0,0,32776,32776,3706.051,January 2021
56874,WT,2021,January,0,0,0,211696,211696,23936.696,January 2021
56876,WT,2021,January,0,0,0,181856,181856,20562.626,January 2021
56878,WT,2021,January,0,0,0,173254,173254,19590.019,January 2021
56879,WT,2021,January,0,0,0,141483,141483,15997.614,January 2021
56901,WT,2021,January,0,0,0,93953,93953,10623.4,January 2021
56902,WT,2021,January,0,0,0,131766,131766,14898.963,January 2021
56904,WT,2021,January,0,0,0,101354,101354,11460.169,January 2021
56905,WT,2021,January,0,0,0,135321,135321,15300.842,January 2021
56912,WT,2021,January,0,0,0,129059,129059,14592.841,January 2021
56913,WT,2021,January,0,0,0,153762,153762,17386,January 2021
56919,WT,2021,January,0,0,0,420562,420562,47553.407,January 2021
56920,WT,2021,January,0,0,0,386225,386225,43670.817,January 2021
56921,WT,2021,January,0,0,0,299193,299193,33830.026,January 2021
56923,WT,2021,January,0,0,0,377533,377533,42688,January 2021
56924,WT,2021,January,0,0,0,419179,419179,47397,January 2021
56925,WT,2021,January,0,0,0,527642,527642,59661,January 2021
56933,WT,2021,January,0,0,0,7736,7736,874.756,January 2021
56934,WT,2021,January,0,0,0,11055,11055,1250,January 2021
56935,WT,2021,January,0,0,0,30777,30777,3480,January 2021
56941,WT,2021,January,0,0,0,369319,369319,41759.272,January 2021
56942,WT,2021,January,0,0,0,20288,20288,2294,January 2021
56945,WT,2021,January,0,0,0,282273,282273,31916.848,January 2021
56946,WT,2021,January,0,0,0,16986,16986,1920.583,January 2021
56947,WT,2021,January,0,0,0,110746,110746,12522.196,January 2021
56952,WT,2021,January,0,0,0,60003,60003,6784.567,January 2021
56953,WT,2021,January,0,0,0,128464,128464,14525.529,January 2021
56956,WT,2021,January,0,0,0,176847,176847,19996.232,January 2021
56959,WT,2021,January,0,0,0,22401,22401,2532.892,January 2021
56960,WT,2021,January,0,0,0,73821,73821,8347,January 2021
56961,WT,2021,January,0,0,0,274474,274474,31035,January 2021
56967,WT,2021,January,0,0,0,4332,4332,489.839,January 2021
56968,WT,2021,January,0,0,0,1342,1342,151.779,January 2021
56969,WT,2021,January,0,0,0,6147,6147,695.057,January 2021
56970,WT,2021,January,0,0,0,7475,7475,845.186,January 2021
56971,WT,2021,January,0,0,0,8866,8866,1002.513,January 2021
56972,WT,2021,January,0,0,0,6524,6524,737.666,January 2021
56973,WT,2021,January,0,0,0,8405,8405,950.339,January 2021
56974,WT,2021,January,0,0,0,2585,2585,292.237,January 2021
56975,WT,2021,January,0,0,0,5771,5771,652.52,January 2021
56979,WT,2021,January,0,0,0,387078,387078,43767.276,January 2021
56980,WT,2021,January,0,0,0,128543,128543,14534.453,January 2021
56981,WT,2021,January,0,0,0,562814,562814,63638,January 2021
56983,WT,2021,January,0,0,0,324347,324347,36674.267,January 2021
56984,WT,2021,January,0,0,0,337863,337863,38202.507,January 2021
56985,WT,2021,January,0,0,0,349045,349045,39466.838,January 2021
56989,WT,2021,January,0,0,0,107607,107607,12167.242,January 2021
56990,WT,2021,January,0,0,0,136763,136763,15463.917,January 2021
56991,WT,2021,January,0,0,0,47820,47820,5407.049,January 2021
56994,WT,2021,January,0,0,0,149249,149249,16875.75,January 2021
57002,WT,2021,January,0,0,0,296690,296690,33547,January 2021
