Plant Code,Year,Nameplate Capacity (MW)
55203,2018,5.2
55208,2013,107.2
55208,2014,107.2
55208,2015,107.2
55208,2016,107.2
55208,2017,107.2
55208,2018,107.2
55208,2019,107.2
55208,2020,107.2
55208,2021,107.2
55265,2013,103.5
55265,2014,103.5
55265,2015,103.5
55265,2016,103.5
55265,2017,103.5
55265,2018,103.5
55265,2019,100.2
55265,2020,100.2
55265,2021,100.2
55287,2013,80.2
55287,2014,80.2
55287,2015,80.2
55287,2016,80.2
55287,2017,80.2
55287,2018,80.2
55287,2019,80.2
55287,2020,80.2
55287,2021,80.2
55342,2013,10.2
55342,2014,10.2
55342,2015,10.2
55342,2016,10.2
55342,2017,10.2
55342,2018,10.2
55342,2019,9.2
55342,2020,9.2
55342,2021,9.2
55353,2013,11.2
55353,2014,11.2
55353,2015,11.2
55353,2016,11.2
55353,2017,11.2
55353,2018,11.2
55353,2019,11.2
55353,2020,11.2
55353,2021,11.2
55354,2013,11.8
55354,2014,11.8
55354,2015,11.8
55354,2016,11.8
55354,2017,11.8
55354,2018,11.8
55354,2019,11.8
55354,2020,11.8
55354,2021,11.8
55367,2013,75.0
55367,2014,75.0
55367,2015,75.0
55367,2016,75.0
55367,2017,75.0
55367,2018,75.0
55368,2013,6.6
55368,2014,6.6
55368,2015,6.6
55368,2016,6.6
55368,2017,6.6
55368,2018,6.6
55368,2019,6.6
55368,2020,6.6
55368,2021,6.6
55370,2013,10.4
55370,2014,10.4
55396,2013,16.5
55396,2014,16.5
55396,2015,16.5
55396,2016,16.5
55396,2017,16.5
55396,2018,16.5
55396,2019,16.5
55396,2020,16.5
55396,2021,16.5
55399,2013,23.3
55560,2013,176.9
55560,2014,176.9
55560,2015,176.9
55560,2016,176.9
55560,2017,176.9
55560,2018,176.9
55560,2019,176.9
55560,2020,176.9
55560,2021,176.9
55561,2013,1.9
55561,2014,1.9
55561,2015,1.9
55561,2016,1.9
55561,2017,1.9
55561,2018,1.9
55561,2019,1.9
55561,2020,1.9
55561,2021,1.9
55562,2013,1.9
55562,2014,1.9
55562,2015,1.9
55562,2016,1.9
55562,2017,1.9
55562,2018,1.9
55562,2019,1.9
55562,2020,1.9
55562,2021,1.9
55563,2013,1.9
55563,2014,1.9
55563,2015,1.9
55563,2016,1.9
55563,2017,1.9
55563,2018,1.9
55563,2019,1.9
55563,2020,1.9
55563,2021,1.9
55564,2013,1.9
55564,2014,1.9
55564,2015,1.9
55564,2016,1.9
55564,2017,1.9
55564,2018,1.9
55564,2019,1.9
55564,2020,1.9
55564,2021,1.9
55565,2013,1.9
55565,2014,1.9
55565,2015,1.9
55565,2016,1.9
55565,2017,1.9
55565,2018,1.9
55565,2019,1.9
55565,2020,1.9
55565,2021,1.9
